Burghardt_ID,street_address,Side,space_type,SPP,common,MULTI_STEM,DBH_2018,Ht_2018,Notes_2018,Condition,area_id,grade,grade_group,mean_temp_C,Status,HOLC_neigh,SPACELENGTH,SPACEWIDTH,survey_date,Observer(s),Site Type,Land Use,Groundcover,Mortality Status,Basal Sprouts,Root Girdling,Tree Height (ft),Trunk Diameter (in),Height of Diameter (in),Fine Twig Dieback,Leaf Discoloration,Leaf Defoliation,Crown Light Exposure,Crown Vigor,Exit Holes,Exudation/Growths,Galleries,Bark Fissures/cankers,Scale,Aphids,Twig/branch Galls,Leaf Galls,SLF,Natural Enemies,Ants,Pruning,Watering,Fencing,Vehicle Damage,survey_notes,dog_poop,trash,spider_mite,foreign_embedded,Species ID Notes,Overhead Conflicts,Flatids,Whitefly,caterpillars_combined,Phi2,PhiNPQ,PhiNO,Ambient Humidity,Ambient Temperature,Leaf Temperature,Leaf Temperature Differential,leaf_thickness,SPAD,photosynq_date,Time of Day,temp_C,lat,long,buffer_temp_C
27288,"3100 N CHARLES ST, Baltimore, MD",Front,Open/Unrestricted,Quercus alba,"oak, white",1,3.6,20,DBH at 3.5,Good,2877,A,AB,34.1545391,back-up,A1,>20,>20,7/3/2024,KM KTB ALP,Other Maintained Landscaped Area,Multi-family Residential,Lawn,Alive,Absent,0 (none),31.81,7.92,54,(1) 0-1%,1 (0-1%),2 (2-25%),3,1 (healthy),None,None,None,None,None,None,Trace,Trace,Trace,Moderate,None,Healed,None,Absent,None,NA,Absent,Absent,None,Absent,NA,None,None,None,Trace,0.472,0.264,0.264,36.64941,34.3,32.33,-1.97,0.11,48.515,7/3/2024 13:45,13.75861111,34.124908447265625,39.33600352,-76.62516908,34.1144779750279
144036,"4332 N CHARLES ST, Baltimore, MD",Front,Tree Lawn,Celtis occidentalis,"hackberry, common",1,3,15,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,8,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),32.31,8.6,54,(1) 0-1%,2 (2-25%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,None,None,Moderate,None,None,Moderate,Trace,Trace,Trace,Improper,None,Absent,None,NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.389,0.396,0.215,36.60254,32.62,30.97,-1.65,0.09,33.173,7/3/2024 12:44,12.73916667,34.1674919128418,39.34235214,-76.62166924,34.1689920425415
49307,"4603 KERNEWAY, Baltimore, MD",Front,Tree Lawn,Celtis occidentalis,"hackberry, common",1,4.2,12,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,6,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),28.77,8.25,54,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,None,None,None,None,Moderate,Trace,Trace,Moderate,Healed,None,Absent,Car (off ground),flatid eggs,Absent,Absent,None,Absent,NA,None,Trace,None,None,0.522,0.247,0.231,31.2998,33.11,33.67,0.56,0.04,30.509,7/2/2024 13:46,13.77805556,34.12284851074219,39.346992470000004,-76.61514909,34.1105210440499
48458,"114 HOMELAND AVE, Baltimore, MD",Front,Tree Lawn,Cornus florida,"dogwood, flowering",1,2.5,8,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,>20,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),12.3,2.87,54,(10) 6-10%,2 (2-25%),1 (0-1%),1,1 (healthy),Small round with sawdust tube (Ambrosia or bark beetles),None,Trace,None,None,None,None,None,None,Trace,None,Healed,None,Absent,Mower (near ground),2 dogwood adjacent - ours is single stem next to Nyssa,Absent,Absent,None,Absent,NA,None,None,None,None,0.523,0.331,0.146,30.17383,33.64,30.83,-2.81,0.02,27.94,7/2/2024 14:43,14.7275,34.417747497558594,39.35348266,-76.6213811,34.4133289882115
26475,"601 W 39TH ST, Baltimore, MD",Opposite,Tree Lawn,Cornus florida,"dogwood, flowering",1,2.6,9,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,10,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-attached,Lawn,Alive,Absent,0 (none),14.33,4.07,45,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,None,None,Trace,None,None,None,None,None,Moderate,None,Healed,None,Absent,None,whitefly pupae,Absent,Absent,None,Absent,NA,None,None,Trace,None,0.369,0.513,0.118,36.38477,34.46,32.07,-2.39,0.04,26.262,7/3/2024 14:00,14.00166667,35.082298278808594,39.33538036,-76.62753859,35.0783375331334
147960,"3 HADLEY SQUARE NORTH, Baltimore, MD",Front,Tree Lawn,Cornus florida,"dogwood, flowering",1,2.8,8,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,8,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Present,0 (none),9.6,3.03,54,(25) 21-25%,2 (2-25%),1 (0-1%),4,3 (moderately unhealthy),Small round with sawdust tube (Ambrosia or bark beetles),Wet/weeping wounds (often blackened),Moderate,Moderate,None,None,None,None,None,Trace,Trace,Improper,None,Absent,Mower (near ground),bird nest. whitefly pupae,Absent,Absent,None,Absent,NA,None,None,Trace,None,0.539,0.19,0.27,34.97266,31.69,29.55,-2.14,0.06,31.11,7/2/2024 11:41,11.69583333,34.315650939941406,39.33675302,-76.61654799,34.3074716840472
144018,"4300 N CHARLES ST, Baltimore, MD",Front,Tree Lawn,Nyssa sylvatica,blackgum,1,2.3,8,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,8,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Properly mulched,Alive,Absent,0 (none),15.88,4.93,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,Trace,None,None,None,None,Trace,Trace,Healed,None,Absent,Car (off ground),removed wire around trunk,Absent,Absent,None,Present,NA,None,None,None,None,0.612,0.183,0.205,37.63965,33.8,34.55,0.75,0.02,34.723,7/3/2024 12:55,12.93111111,34.124961853027344,39.34062167,-76.62076729,34.1402315412249
96671,"411 WINGATE ROAD, Baltimore, MD",Front,Tree Lawn,Nyssa sylvatica,blackgum,1,2.5,8,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,2,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Bare ground,Alive,Absent,0 (none),18.15,4.25,54,(1) 0-1%,1 (0-1%),1 (0-1%),2,1 (healthy),None,None,None,Trace,None,None,None,None,None,Trace,Trace,Healed,None,Absent,Car (off ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.495,0.306,0.199,31.49121,33.32,34.39,1.07,0.03,28.253,7/2/2024 13:20,13.34388889,33.98151397705078,39.34344375,-76.62754814,33.9769930158343
178452,"3950 CLOVERHILL ROAD, Baltimore, MD",Front,Tree Lawn,Nyssa sylvatica,blackgum,1,3,12,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Properly mulched,Alive,Absent,0 (none),13.1,4.15,54,(5) 2-5%,2 (2-25%),1 (0-1%),3,2 (slightly unhealthy),None,None,None,None,Substantive,None,None,Trace,None,None,None,Improper,None,Absent,Car (off ground),whitefly adult,Absent,Absent,None,Absent,NA,None,None,Trace,None,0.487,0.369,0.144,37.30859,33.95,34.69,0.74,0.03,25.309,7/3/2024 13:25,13.42638889,34.66011428833008,39.33815301,-76.61993885,34.6237726211548
178448,"3900 N CHARLES ST, Baltimore, MD",Side,Tree Lawn,Tilia americana,"linden, American",1,2,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,10,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Mixed Use,Properly mulched,Alive,Absent,0 (none),20.35,7.72,43,(1) 0-1%,1 (0-1%),2 (2-25%),5 (all sides in sun),1 (healthy),None,Honeydew/sooty mold,None,None,None,None,None,None,Trace,Trace,Trace,Healed,None,Absent,Mower (near ground),exposed root mowed. lots of bird poop. tomentosa? white under leaves,Absent,Absent,None,Absent,NA,None,None,None,None,0.549,0.24,0.211,35.22363,34.37,30.61,-3.76,0.14,57.705,7/3/2024 13:14,13.24138889,34.625457763671875,39.33583346,-76.618494,34.6387416294643
50533,"315 KERNEWAY, Baltimore, MD",Front,Tree Lawn,Tilia americana,"linden, American",1,2.2,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,6,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),20.33,6.34,43,(1) 0-1%,1 (0-1%),2 (2-25%),5 (all sides in sun),1 (healthy),Round in rows (sapsucker),None,None,None,None,None,None,Moderate,Trace,Moderate,Trace,Improper,None,Absent,None,"whitefly pupae, needs pruning, soil volcano",Absent,Absent,None,Absent,NA,None,None,Trace,None,0.484,0.23,0.285,32.75488,33.34,31.01,-2.33,0.1,53.486,7/2/2024 13:59,13.98527778,33.993324279785156,39.34685872,-76.61300801,33.9931204659598
51331,"315 KERNEWAY, Baltimore, MD",Front,Tree Lawn,Tilia americana,"linden, American",1,2.8,10,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,6,7/2/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),20.8,5.96,54,(1) 0-1%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),Small round with sawdust tube (Ambrosia or bark beetles),Honeydew/sooty mold,None,None,None,None,None,Trace,Moderate,Trace,Trace,Improper,None,Absent,Car (off ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.482,0.305,0.214,30.26172,33.97,31.63,-2.34,0.04,49.056,7/2/2024 14:05,14.09888889,34.0007209777832,39.3467931,-76.61292316,33.9734088352748
144113,"4307 N CHARLES ST, Baltimore, MD",Front,Tree Lawn,Tilia americana,"linden, American",1,4.8,12,NA,Good,2877,A,AB,34.1545391,Focal,A1,>20,8,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Single-family Residential-detached,Lawn,Alive,Absent,0 (none),20.3,6.54,54,(1) 0-1%,1 (0-1%),2 (2-25%),4,1 (healthy),None,None,None,None,Trace,None,None,Trace,None,None,Trace,Healed,None,Absent,Car (off ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.644,0.13,0.226,35.86523,34.35,30.97,-3.38,0.02,41.206,7/3/2024 13:01,13.03194444,34.14759826660156,39.34079598,-76.62080312,34.1525437491281
114892,"1427 E FEDERAL ST, Baltimore, MD",Front,Well/Pit,Celtis occidentalis,"hackberry, common",1,2.4,15,NA,Good,2868,D,D,36.049901,Focal,D1,8,5,7/1/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,Absent,1 (<40%),32.72,8.43,54,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,Moderate,None,None,None,Trace,None,None,Trace,Healed,Bag,Absent,Car (off ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.569,0.193,0.237,31.9375,30.86,26.25,-4.61,0.04,23.178,8/22/2024 13:07,13.12916667,36.52687072753906,39.30831062,-76.59890925,36.5233579363142
35369,"1650 AISQUITH ST, Baltimore, MD",Front,Well/Pit,Cladrastis kentukea,yellowwood,1,3.5,12,NA,Good,2868,D,D,36.049901,Focal,D1,4,4,7/1/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,Absent,0 (none),15.9,4.98,54,(1) 0-1%,2 (2-25%),1 (0-1%),4,1 (healthy),None,Sticky or hardened clear/brown resin,None,Moderate,None,None,None,None,Trace,None,Trace,Improper,None,Absent,Car (off ground),trash,Absent,Present,None,Absent,NA,None,None,None,None,0.418,0.415,0.167,32.98047,30.37,31.39,1.02,0.19,23.771,8/22/2024 12:57,12.95166667,35.85121536254883,39.30898727,-76.60253004,35.8428649902344
32792,"801 SHOWELL CT, Baltimore, MD",Rear,Well/Pit,Nyssa sylvatica,blackgum,1,2.4,10,NA,Good,2868,D,D,36.049901,Focal,D1,10,4,7/1/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Herbaceous,Alive,Absent,0 (none),9.43,3.8,54,(5) 2-5%,1 (0-1%),1 (0-1%),3,1 (healthy),None,None,None,None,None,None,None,None,Trace,None,None,Improper,None,Absent,Car (off ground),trash,Absent,Present,None,Absent,NA,None,None,None,None,0.413,0.256,0.331,34.20703,28.57,28.63,0.06,0.02,28.101,8/22/2024 12:34,12.57,36.110382080078125,39.30398352,-76.60645109,36.1207640511649
42624,"1950 E FAYETTE ST, Baltimore, MD",Front,Open/Unrestricted,Cladrastis kentukea,yellowwood,1,2.4,15,NA,Good,2868,D,D,36.049901,Focal,D1,>20,5,7/3/2024,KM KTB ALP,Sidewalk Planting Strip,Mixed Use,Improperly mulched,Alive,Absent,0 (none),15.02,4.7,43,(5) 2-5%,1 (0-1%),1 (0-1%),5 (all sides in sun),1 (healthy),None,None,Moderate,Trace,None,None,None,None,None,None,Trace,Improper,None,Absent,Mower (near ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.548,0.278,0.174,42.9248,32.88,34.55,1.67,0.02,29.166,7/3/2024 10:31,10.52611111,38.05337142944336,39.29419197,-76.59003283,37.9817226954869
44500,"2024 E BALTIMORE ST, Baltimore, MD",Front,Well/Pit,Cladrastis kentukea,yellowwood,1,3.3,15,NA,Good,2868,D,D,36.049901,Focal,D1,4,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Bare ground,Alive,Absent,0 (none),25.11,8.21,46,(1) 0-1%,2 (2-25%),1 (0-1%),3,1 (healthy),None,None,None,Trace,Moderate,None,None,None,Trace,None,Trace,Improper,None,Absent,Car (off ground),NA,Absent,Absent,None,Absent,NA,None,None,None,None,0.464,0.343,0.192,46.85156,31.09,28.39,-2.7,0.08,24.836,7/3/2024 10:06,10.11583333,35.79689025878906,39.29182944,-76.58814704,35.8595521109445
113030,"1500 N BROADWAY, Baltimore, MD",Side,Well/Pit,Nyssa sylvatica,blackgum,1,2.5,8,NA,Good,2868,D,D,36.049901,Focal,D1,12,4,7/1/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Herbaceous,Alive,Absent,0 (none),14.05,4.48,54,(1) 0-1%,2 (2-25%),1 (0-1%),5 (all sides in sun),2 (slightly unhealthy),None,None,None,None,Trace,None,None,None,Trace,None,Trace,Healed,None,Absent,Mower (near ground),"nutrient deficiency? trash, pentatomid and flatid nymphs",Absent,Present,None,Absent,NA,None,Trace,None,None,0.557,0.183,0.26,29.71289,32.51,32.33,-0.18,0.51,32.629,8/22/2024 13:45,13.75027778,36.3111457824707,39.30752306,-76.59523568,36.3311102730887
41799,"701 E FAYETTE ST, Baltimore, MD",Front,Open/Unrestricted,Cornus florida,"dogwood, flowering",1,3,20,DBH Estimated,Good,2868,D,D,36.049901,Focal,D1,>20,8,7/1/2024,KM KTB ALP,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,couldn't find,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.288509368896484,39.29048928,-76.60527807,35.3092422485352
134145,"2238 E MONUMENT ST, Baltimore, MD",Front,Well/Pit,Carpinus caroliniana,"hornbeam, American",1,2.5,10,NA,Good,2868,D,D,36.049901,Focal,D1,8,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Commercial,Bare ground,Alive,Absent,0 (none),22.68,6.7,50,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,Moderate,None,None,None,Trace,Trace,None,None,None,Absent,Car (off ground),Carpinus orientalis?,Absent,Absent,None,Absent,Carpinus orientalis?,None,None,None,None,0.385,0.497,0.118,34.59863,34.89,35.99,1.1,0.03,31.816,7/3/2024 11:05,11.08916667,36.8403205871582,39.29878086,-76.58554696,36.8396982465472
69073,"42 N PATTERSON PARK AVE, Baltimore, MD",Front,Well/Pit,Carpinus caroliniana,"hornbeam, American",1,3.9,17,NA,Good,2868,D,D,36.049901,Focal,D1,8,5,7/3/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Herbaceous,Alive,Absent,0 (none),21.4,6.3,43,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,None,None,None,None,None,Trace,Trace,Healed,None,Present,None,sign around trunk. planted deep. orientalis?,Absent,Absent,None,Present,NA,None,None,None,None,0.31,0.565,0.125,42.11914,31.7,32.77,1.07,0.05,38.178,7/3/2024 10:19,10.32833333,36.58408737182617,39.29283895,-76.58484953,36.5757097516741
43490,"2123 ORLEANS ST, Baltimore, MD",Front,Well/Pit,Carpinus caroliniana,"hornbeam, American",1,1.5,10,remove hardware,Good,2868,D,D,36.049901,Focal,D1,8,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Properly mulched,Removed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Carpinus orientalis?,NA,NA,NA,NA,Carpinus orientalis?,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.64408493041992,39.29538306,-76.58665351,36.6552396501814
133955,"2204 E MONUMENT ST, Baltimore, MD",Front,Well/Pit,Carpinus caroliniana,"hornbeam, American",1,2.4,12,NA,Good,2868,D,D,36.049901,back-up,D1,8,4,7/3/2024,KM KTB ALP,Sidewalk Cutout,Commercial,Bare ground,Alive,Present,1 (<40%),23.95,6.5,42,(1) 0-1%,1 (0-1%),1 (0-1%),4,1 (healthy),None,None,None,None,Trace,None,None,None,None,Trace,None,Improper,None,Absent,Car (off ground),plastic embedded in trunk. trash,Absent,Present,None,Present,NA,None,None,None,None,0.309,0.586,0.105,38.51758,34.89,37.15,2.26,0.02,33.868,7/3/2024 10:55,10.93222222,36.275508880615234,39.29874898,-76.58628716,36.270254952567
113051,"1606 E FEDERAL ST, Baltimore, MD",Front,Well/Pit,Nyssa sylvatica,blackgum,1,2.6,10,NA,Good,2868,D,D,36.049901,Focal,D1,8,4,7/1/2024,KM KTB ALP,Sidewalk Cutout,Single-family Residential-attached,Other,Alive,Absent,0 (none),17.64,5.72,54,(1) 0-1%,2 (2-25%),1 (0-1%),4,2 (slightly unhealthy),None,None,None,None,None,None,None,None,Trace,None,Trace,Healed,None,Absent,None,"urbanite ground cover, trash",Absent,Present,None,Absent,NA,None,None,None,None,0.54,0.199,0.261,30.35352,32.02,27.43,-4.59,0.22,35.659,8/22/2024 13:22,13.37361111,36.21345901489258,39.30854235,-76.59626317,36.216495513916
